Date,Open,High,Low,Close,Volume
16-02-2022,14876.65,14935.6,14756.5,14789.9,1470000000
15-02-2022,14469,14822.75,14348.4,14805.55,1810000000
14-02-2022,14606.55,14638.65,14370.7,14400.4,1730000000
11-02-2022,14988.95,14990.6,14862.05,14891.3,1400000000
10-02-2022,15084.35,15134.1,14972.35,15112.2,1680000000
09-02-2022,14942.75,15026.5,14925.05,15016.35,1410000000
08-02-2022,14926.5,14955.25,14689.15,14857.05,1790000000
07-02-2022,15065.05,15126.65,14796.2,14870.6,1780000000
04-02-2022,15159.6,15188.4,15048.35,15085.45,1700000000
03-02-2022,15289.15,15296.35,15101,15135.9,1720000000
02-02-2022,15218.25,15304.6,15201.45,15293.35,1980000000
01-02-2022,15073.15,15138.2,14850.3,15116.2,2290000000
31-01-2022,14894.75,14975.8,14857.55,14921.45,1700000000
28-01-2022,14773.05,14952.15,14701.6,14723.25,2110000000
27-01-2022,14671.7,14735.75,14489.8,14679.7,2250000000
25-01-2022,14577.55,14853,14410.9,14832.2,2060000000
24-01-2022,15155,15165.4,14577.15,14712.05,2090000000
21-01-2022,15252.9,15294.7,15069.05,15180.8,1620000000
20-01-2022,15464.45,15486.15,15280.55,15361.1,1450000000
19-01-2022,15580.4,15580.4,15403.2,15472.5,1820000000
18-01-2022,15819.45,15834.2,15546.65,15573.1,1880000000
17-01-2022,15731.35,15794.95,15718.25,15781.25,1700000000
14-01-2022,15667.95,15754.45,15619.55,15730.4,1600000000
13-01-2022,15710.3,15730.95,15629.45,15721.05,1900000000
12-01-2022,15627.05,15678.7,15595.65,15667.9,2490000000
11-01-2022,15497.5,15559.1,15462.05,15530.55,3920000000
10-01-2022,15427.65,15504,15400.55,15495.55,1860000000
07-01-2022,15333.45,15418.4,15255.45,15348.55,1960000000
06-01-2022,15275.75,15315.5,15197.1,15290.1,1880000000
05-01-2022,15329.75,15410.6,15264.85,15396.4,1910000000
04-01-2022,15260.9,15333.6,15168.15,15318.75,2030000000
03-01-2022,15030.5,15220.05,15028.55,15204.6,1750000000
31-12-2021,14879.25,15022.35,14877.85,14996.2,1840000000
30-12-2021,14856.1,14894.65,14815,14842.05,1820000000
29-12-2021,14866.2,14922.35,14835.35,14863.4,1620000000
28-12-2021,14809.5,14880.85,14805.3,14867.85,1230000000
27-12-2021,14617.15,14745.55,14515.25,14727.6,1360000000
24-12-2021,14813.9,14819.2,14605.05,14664.8,1400000000
23-12-2021,14738.3,14779.3,14708.7,14751.45,1280000000
22-12-2021,14542.7,14652.35,14522.55,14639.75,1410000000
21-12-2021,14423.7,14584.95,14386.45,14461.4,1660000000
20-12-2021,14523.5,14533.8,14128.15,14300.7,2120000000
17-12-2021,14952.75,14966.1,14658.5,14673.15,1920000000
16-12-2021,15072.95,15078.85,14891.6,14936.45,1660000000
15-12-2021,15050.1,15075.7,14936.6,14953.1,1510000000
14-12-2021,15005.5,15072,14947.95,15043.25,1820000000
13-12-2021,15258.1,15280,15052.9,15064.25,2050000000
10-12-2021,15103.65,15168.8,15069.8,15155,2450000000
09-12-2021,15126.55,15141,15023.2,15126.6,3130000000
08-12-2021,14945.3,15084.5,14941.3,15073.25,1740000000
07-12-2021,14733.25,14881.75,14683.25,14834.5,2070000000
06-12-2021,14876.25,14882.15,14599.35,14618.35,2910000000
03-12-2021,15002.65,15054.95,14845.25,14856.3,2470000000
02-12-2021,14808.8,14990.3,14786.65,14973.95,2140000000
01-12-2021,14743.7,14822.5,14694.3,14784.7,2320000000
30-11-2021,14662.05,14912.75,14608.6,14648.35,2700000000
